alert_id,soc_id,timestamp,severity,asset_id,asset_criticality,alert_type,detection_rule,status,assigned_analyst
ALT-000015,SOC-ALPHA,2026-09-03 09:09:00,High,AST-0015,Critical,DET-T1078-Valid_Accounts_75,RUL-075,Closed,ANL-018
ALT-000018,SOC-ALPHA,2026-08-05 07:59:00,High,AST-0081,High,DET-T1059-Command_and_Scripting_Interpreter_31,RUL-031,Closed,ANL-009
ALT-000027,SOC-ALPHA,2026-07-29 21:55:00,Critical,AST-0180,Medium,DET-T1110-Brute_Force_83,RUL-083,Closed,ANL-017
ALT-000033,SOC-ALPHA,2026-08-30 16:28:00,Medium,AST-0110,High,DET-T1046-Network_Service_Discovery_66,RUL-066,Closed,ANL-016
ALT-000052,SOC-ALPHA,2026-06-15 06:05:00,High,AST-0063,High,DET-T1567-Exfiltration_Over_Web_Service_40,RUL-040,Closed,ANL-022
ALT-000053,SOC-ALPHA,2026-07-21 16:07:00,Medium,AST-0162,High,DET-T1059-Command_and_Scripting_Interpreter_16,RUL-016,Under Review,ANL-018
ALT-000094,SOC-ALPHA,2026-08-24 18:06:00,Low,AST-0059,High,DET-T1070-Indicator_Removal_on_Host_84,RUL-084,Closed,ANL-021
ALT-000110,SOC-ALPHA,2026-06-21 22:22:00,Medium,AST-0159,High,DET-T1078-Valid_Accounts_60,RUL-060,Closed,ANL-015
ALT-000121,SOC-ALPHA,2026-08-26 12:29:00,Low,AST-0399,Low,DET-T1021-Remote_Services_49,RUL-049,Closed,ANL-017
ALT-000150,SOC-ALPHA,2026-06-30 10:20:00,High,AST-0116,High,DET-T1566-Phishing_32,RUL-032,Closed,ANL-005
ALT-000180,SOC-ALPHA,2026-08-16 01:52:00,High,AST-0040,Critical,DET-T1046-Network_Service_Discovery_36,RUL-036,Closed,ANL-007
ALT-000185,SOC-ALPHA,2026-09-01 03:15:00,Low,AST-0154,High,DET-T1059-Command_and_Scripting_Interpreter_91,RUL-091,Closed,ANL-005
ALT-000197,SOC-ALPHA,2026-09-01 13:03:00,Medium,AST-0360,Medium,DET-T1562-Impair_Defenses_22,RUL-022,Closed,ANL-003
ALT-000212,SOC-ALPHA,2026-08-12 16:44:00,Low,AST-0275,Medium,DET-T1566-Phishing_77,RUL-077,Closed,ANL-021
ALT-000215,SOC-ALPHA,2026-08-05 18:04:00,High,AST-0059,High,DET-T1053-Scheduled_Task/Job_03,RUL-003,Closed,ANL-011
ALT-000221,SOC-ALPHA,2026-09-04 06:26:00,Medium,AST-0228,Medium,DET-T1053-Scheduled_Task/Job_63,RUL-063,Closed,ANL-006
ALT-000230,SOC-ALPHA,2026-07-28 03:20:00,Low,AST-0173,Medium,DET-T1486-Data_Encrypted_for_Impact_71,RUL-071,Closed,ANL-019
ALT-000241,SOC-ALPHA,2026-07-14 12:47:00,Medium,AST-0331,Medium,DET-T1562-Impair_Defenses_07,RUL-007,Closed,ANL-008
ALT-000257,SOC-ALPHA,2026-07-04 15:15:00,High,AST-0475,Low,DET-T1046-Network_Service_Discovery_51,RUL-051,Closed,ANL-011
ALT-000264,SOC-ALPHA,2026-08-01 16:31:00,Medium,AST-0282,Medium,DET-T1566-Phishing_62,RUL-062,Closed,ANL-002
ALT-000271,SOC-ALPHA,2026-08-06 13:03:00,Critical,AST-0037,Critical,DET-T1567-Exfiltration_Over_Web_Service_100,RUL-100,Closed,ANL-004
ALT-000292,SOC-ALPHA,2026-09-06 12:25:00,Medium,AST-0064,High,DET-T1090-Proxy_88,RUL-088,Closed,ANL-001
ALT-000299,SOC-ALPHA,2026-07-20 06:43:00,Medium,AST-0402,Low,DET-T1059-Command_and_Scripting_Interpreter_61,RUL-061,Closed,ANL-022
ALT-000316,SOC-ALPHA,2026-09-01 22:51:00,Medium,AST-0454,Low,DET-T1562-Impair_Defenses_22,RUL-022,Closed,ANL-004
ALT-000319,SOC-ALPHA,2026-08-17 00:09:00,Low,AST-0286,Medium,DET-T1021-Remote_Services_79,RUL-079,Closed,ANL-002
ALT-000322,SOC-ALPHA,2026-08-05 06:07:00,Low,AST-0382,Low,DET-T1070-Indicator_Removal_on_Host_84,RUL-084,Closed,ANL-001
ALT-000352,SOC-ALPHA,2026-09-07 19:09:00,High,AST-0065,High,DET-T1567-Exfiltration_Over_Web_Service_25,RUL-025,Closed,ANL-004
ALT-000355,SOC-ALPHA,2026-08-25 18:17:00,Low,AST-0069,High,DET-T1055-Process_Injection_87,RUL-087,Closed,ANL-011
ALT-000367,SOC-ALPHA,2026-08-28 17:38:00,Medium,AST-0118,High,DET-T1021-Remote_Services_49,RUL-049,Closed,ANL-013
ALT-000403,SOC-ALPHA,2026-07-16 07:29:00,Medium,AST-0049,Critical,DET-T1562-Impair_Defenses_67,RUL-067,Under Review,ANL-022
ALT-000430,SOC-ALPHA,2026-08-23 14:23:00,High,AST-0153,High,DET-T1070-Indicator_Removal_on_Host_84,RUL-084,Closed,ANL-001
ALT-000433,SOC-ALPHA,2026-06-15 11:24:00,Medium,AST-0340,Medium,DET-T1110-Brute_Force_68,RUL-068,Closed,ANL-002
ALT-000444,SOC-ALPHA,2026-09-04 04:30:00,High,AST-0009,Critical,DET-T1110-Brute_Force_53,RUL-053,Closed,ANL-001
ALT-000458,SOC-ALPHA,2026-07-26 15:33:00,Medium,AST-0320,Medium,DET-T1059-Command_and_Scripting_Interpreter_46,RUL-046,Closed,ANL-005
ALT-000462,SOC-ALPHA,2026-07-01 18:43:00,High,AST-0146,High,DET-T1021-Remote_Services_79,RUL-079,Closed,ANL-001
ALT-000464,SOC-ALPHA,2026-06-21 21:53:00,Medium,AST-0290,Medium,DET-T1053-Scheduled_Task/Job_93,RUL-093,Closed,ANL-022
ALT-000479,SOC-ALPHA,2026-09-03 09:07:00,Medium,AST-0238,Medium,DET-T1055-Process_Injection_42,RUL-042,Closed,ANL-018
ALT-000491,SOC-ALPHA,2026-08-27 13:23:00,Low,AST-0134,High,DET-T1078-Valid_Accounts_90,RUL-090,Closed,ANL-008
ALT-000565,SOC-ALPHA,2026-09-04 00:32:00,High,AST-0139,High,DET-T1567-Exfiltration_Over_Web_Service_70,RUL-070,Under Review,ANL-001
ALT-000574,SOC-ALPHA,2026-08-25 05:42:00,Medium,AST-0103,High,DET-T1070-Indicator_Removal_on_Host_54,RUL-054,Closed,ANL-013
ALT-000643,SOC-ALPHA,2026-07-02 11:44:00,High,AST-0041,Critical,DET-T1055-Process_Injection_72,RUL-072,Closed,ANL-012
ALT-000658,SOC-ALPHA,2026-08-02 15:05:00,Medium,AST-0063,High,DET-T1053-Scheduled_Task/Job_18,RUL-018,Under Review,ANL-018
ALT-000677,SOC-ALPHA,2026-07-07 04:09:00,Medium,AST-0309,Medium,DET-T1190-Exploit_Public-Facing_Application_44,RUL-044,Closed,ANL-010
ALT-000706,SOC-ALPHA,2026-08-16 09:21:00,Medium,AST-0439,Low,DET-T1567-Exfiltration_Over_Web_Service_25,RUL-025,Closed,ANL-013
ALT-000745,SOC-ALPHA,2026-08-09 21:24:00,Low,AST-0381,Low,DET-T1003-OS_Credential_Dumping_95,RUL-095,Closed,ANL-013
ALT-000777,SOC-ALPHA,2026-06-13 13:45:00,Medium,AST-0274,Medium,DET-T1046-Network_Service_Discovery_96,RUL-096,Closed,ANL-012
ALT-000817,SOC-ALPHA,2026-07-19 18:44:00,Critical,AST-0053,High,DET-T1053-Scheduled_Task/Job_03,RUL-003,Closed,ANL-012
ALT-000818,SOC-ALPHA,2026-08-23 04:15:00,High,AST-0036,Critical,DET-T1059-Command_and_Scripting_Interpreter_16,RUL-016,Closed,ANL-005
ALT-000865,SOC-ALPHA,2026-08-21 06:18:00,Medium,AST-0450,Low,DET-T1110-Brute_Force_83,RUL-083,Closed,ANL-017
ALT-000870,SOC-ALPHA,2026-09-10 08:02:00,High,AST-0121,High,DET-T1090-Proxy_13,RUL-013,Closed,ANL-014
ALT-000882,SOC-ALPHA,2026-07-29 10:33:00,Medium,AST-0266,Medium,DET-T1486-Data_Encrypted_for_Impact_56,RUL-056,Closed,ANL-004
ALT-000890,SOC-ALPHA,2026-08-28 00:56:00,Medium,AST-0136,High,DET-T1055-Process_Injection_87,RUL-087,Closed,ANL-012
ALT-000953,SOC-ALPHA,2026-07-31 00:20:00,Medium,AST-0388,Low,DET-T1110-Brute_Force_23,RUL-023,Closed,ANL-005
ALT-001000,SOC-ALPHA,2026-07-08 21:34:00,Medium,AST-0360,Medium,DET-T1486-Data_Encrypted_for_Impact_56,RUL-056,Closed,ANL-012
ALT-001028,SOC-ALPHA,2026-07-31 10:46:00,Medium,AST-0424,Low,DET-T1190-Exploit_Public-Facing_Application_59,RUL-059,Closed,ANL-019
ALT-001030,SOC-ALPHA,2026-07-08 05:29:00,Low,AST-0256,Medium,DET-T1055-Process_Injection_27,RUL-027,Closed,ANL-018
ALT-001035,SOC-ALPHA,2026-07-19 11:26:00,Low,AST-0143,High,DET-T1486-Data_Encrypted_for_Impact_41,RUL-041,Closed,ANL-012
ALT-001053,SOC-ALPHA,2026-07-28 15:35:00,Low,AST-0434,Low,DET-T1003-OS_Credential_Dumping_95,RUL-095,Closed,ANL-018
ALT-001065,SOC-ALPHA,2026-08-15 08:03:00,Critical,AST-0071,High,DET-T1070-Indicator_Removal_on_Host_69,RUL-069,Closed,ANL-012
ALT-001071,SOC-ALPHA,2026-08-19 20:36:00,High,AST-0100,High,DET-T1053-Scheduled_Task/Job_03,RUL-003,Closed,ANL-001
ALT-001079,SOC-ALPHA,2026-07-09 05:26:00,High,AST-0495,Low,DET-T1003-OS_Credential_Dumping_20,RUL-020,Closed,ANL-022
ALT-001107,SOC-ALPHA,2026-08-10 19:49:00,Low,AST-0433,Low,DET-T1021-Remote_Services_64,RUL-064,Closed,ANL-003
ALT-001111,SOC-ALPHA,2026-08-20 09:54:00,High,AST-0273,Medium,DET-T1059-Command_and_Scripting_Interpreter_46,RUL-046,Closed,ANL-013
ALT-001114,SOC-ALPHA,2026-08-19 12:40:00,Medium,AST-0462,Low,DET-T1003-OS_Credential_Dumping_50,RUL-050,Closed,ANL-009
ALT-001136,SOC-ALPHA,2026-08-04 04:13:00,Low,AST-0335,Medium,DET-T1003-OS_Credential_Dumping_95,RUL-095,Closed,ANL-009
ALT-001176,SOC-ALPHA,2026-08-27 10:00:00,Low,AST-0346,Medium,DET-T1055-Process_Injection_12,RUL-012,Closed,ANL-011
ALT-001221,SOC-ALPHA,2026-07-17 16:11:00,Low,AST-0349,Medium,DET-T1567-Exfiltration_Over_Web_Service_10,RUL-010,Closed,ANL-003
ALT-001229,SOC-ALPHA,2026-06-29 15:10:00,High,AST-0485,Low,DET-T1053-Scheduled_Task/Job_78,RUL-078,Closed,ANL-019
ALT-001299,SOC-ALPHA,2026-06-21 01:31:00,Low,AST-0110,High,DET-T1070-Indicator_Removal_on_Host_69,RUL-069,Closed,ANL-022
ALT-001337,SOC-ALPHA,2026-07-10 08:01:00,Medium,AST-0322,Medium,DET-T1190-Exploit_Public-Facing_Application_74,RUL-074,Closed,ANL-001
