rule_id,rule_name,rule_type,created_at,last_updated,status,mapped_technique
RUL-001,DET-T1059-Command_and_Scripting_Interpreter_01,Behavioral Anomaly,2026-04-12,2026-06-11,Active,T1059
RUL-002,DET-T1566-Phishing_02,Correlation Rule,2026-06-18,2026-08-17,Active,T1566
RUL-003,DET-T1053-Scheduled_Task/Job_03,Sigma Signature,2026-06-29,2026-08-28,Active,T1053
RUL-004,DET-T1021-Remote_Services_04,Behavioral Anomaly,2026-03-30,2026-05-29,Active,T1021
RUL-005,DET-T1003-OS_Credential_Dumping_05,Correlation Rule,2025-12-22,2026-02-20,Review Overdue,T1003
RUL-006,DET-T1046-Network_Service_Discovery_06,Sigma Signature,2026-06-01,2026-07-31,Active,T1046
RUL-007,DET-T1562-Impair_Defenses_07,Behavioral Anomaly,2026-06-04,2026-08-03,Active,T1562
RUL-008,DET-T1110-Brute_Force_08,Correlation Rule,2026-06-15,2026-08-14,Active,T1110
RUL-009,DET-T1070-Indicator_Removal_on_Host_09,Sigma Signature,2026-03-30,2026-05-29,Active,T1070
RUL-010,DET-T1567-Exfiltration_Over_Web_Service_10,Behavioral Anomaly,2026-06-19,2026-08-18,Active,T1567
RUL-011,DET-T1486-Data_Encrypted_for_Impact_11,Correlation Rule,2026-04-07,2026-06-06,Active,T1486
RUL-012,DET-T1055-Process_Injection_12,Sigma Signature,2025-07-18,2025-09-16,Outdated,T1055
RUL-013,DET-T1090-Proxy_13,Behavioral Anomaly,2026-06-21,2026-08-20,Active,T1090
RUL-014,DET-T1190-Exploit_Public-Facing_Application_14,Correlation Rule,2026-04-18,2026-06-17,Active,T1190
RUL-015,DET-T1078-Valid_Accounts_15,Sigma Signature,2026-05-09,2026-07-08,Active,T1078
RUL-016,DET-T1059-Command_and_Scripting_Interpreter_16,Behavioral Anomaly,2026-06-28,2026-08-27,Active,T1059
RUL-017,DET-T1566-Phishing_17,Correlation Rule,2026-06-29,2026-08-28,Active,T1566
RUL-018,DET-T1053-Scheduled_Task/Job_18,Sigma Signature,2026-06-21,2026-08-20,Active,T1053
RUL-019,DET-T1021-Remote_Services_19,Behavioral Anomaly,2025-12-26,2026-02-24,Review Overdue,T1021
RUL-020,DET-T1003-OS_Credential_Dumping_20,Correlation Rule,2026-06-03,2026-08-02,Active,T1003
RUL-021,DET-T1046-Network_Service_Discovery_21,Sigma Signature,2026-04-29,2026-06-28,Active,T1046
RUL-022,DET-T1562-Impair_Defenses_22,Behavioral Anomaly,2026-04-16,2026-06-15,Active,T1562
RUL-023,DET-T1110-Brute_Force_23,Correlation Rule,2026-06-29,2026-08-28,Active,T1110
RUL-024,DET-T1070-Indicator_Removal_on_Host_24,Sigma Signature,2026-04-22,2026-06-21,Active,T1070
RUL-025,DET-T1567-Exfiltration_Over_Web_Service_25,Behavioral Anomaly,2026-06-07,2026-08-06,Active,T1567
RUL-026,DET-T1486-Data_Encrypted_for_Impact_26,Correlation Rule,2026-04-02,2026-06-01,Active,T1486
RUL-027,DET-T1055-Process_Injection_27,Sigma Signature,2025-07-18,2025-09-16,Outdated,T1055
RUL-028,DET-T1090-Proxy_28,Behavioral Anomaly,2026-05-10,2026-07-09,Active,T1090
RUL-029,DET-T1190-Exploit_Public-Facing_Application_29,Correlation Rule,2026-06-04,2026-08-03,Active,T1190
RUL-030,DET-T1078-Valid_Accounts_30,Sigma Signature,2026-05-06,2026-07-05,Active,T1078
RUL-031,DET-T1059-Command_and_Scripting_Interpreter_31,Behavioral Anomaly,2026-04-18,2026-06-17,Active,T1059
RUL-032,DET-T1566-Phishing_32,Correlation Rule,2026-05-28,2026-07-27,Active,T1566
RUL-033,DET-T1053-Scheduled_Task/Job_33,Sigma Signature,2026-07-02,2026-08-31,Active,T1053
RUL-034,DET-T1021-Remote_Services_34,Behavioral Anomaly,2026-03-27,2026-05-26,Active,T1021
RUL-035,DET-T1003-OS_Credential_Dumping_35,Correlation Rule,2026-06-12,2026-08-11,Active,T1003
RUL-036,DET-T1046-Network_Service_Discovery_36,Sigma Signature,2026-04-04,2026-06-03,Active,T1046
RUL-037,DET-T1562-Impair_Defenses_37,Behavioral Anomaly,2026-05-09,2026-07-08,Active,T1562
RUL-038,DET-T1110-Brute_Force_38,Correlation Rule,2026-05-20,2026-07-19,Active,T1110
RUL-039,DET-T1070-Indicator_Removal_on_Host_39,Sigma Signature,2026-05-28,2026-07-27,Active,T1070
RUL-040,DET-T1567-Exfiltration_Over_Web_Service_40,Behavioral Anomaly,2026-06-13,2026-08-12,Active,T1567
RUL-041,DET-T1486-Data_Encrypted_for_Impact_41,Correlation Rule,2026-06-05,2026-08-04,Active,T1486
RUL-042,DET-T1055-Process_Injection_42,Sigma Signature,2026-03-27,2026-05-26,Active,T1055
RUL-043,DET-T1090-Proxy_43,Behavioral Anomaly,2026-05-20,2026-07-19,Active,T1090
RUL-044,DET-T1190-Exploit_Public-Facing_Application_44,Correlation Rule,2025-11-08,2026-01-07,Outdated,T1190
RUL-045,DET-T1078-Valid_Accounts_45,Sigma Signature,2026-06-21,2026-08-20,Active,T1078
RUL-046,DET-T1059-Command_and_Scripting_Interpreter_46,Behavioral Anomaly,2026-05-15,2026-07-14,Active,T1059
RUL-047,DET-T1566-Phishing_47,Correlation Rule,2026-06-20,2026-08-19,Active,T1566
RUL-048,DET-T1053-Scheduled_Task/Job_48,Sigma Signature,2026-05-18,2026-07-17,Active,T1053
RUL-049,DET-T1021-Remote_Services_49,Behavioral Anomaly,2026-05-19,2026-07-18,Active,T1021
RUL-050,DET-T1003-OS_Credential_Dumping_50,Correlation Rule,2026-04-16,2026-06-15,Active,T1003
RUL-051,DET-T1046-Network_Service_Discovery_51,Sigma Signature,2026-05-30,2026-07-29,Active,T1046
RUL-052,DET-T1562-Impair_Defenses_52,Behavioral Anomaly,2026-06-27,2026-08-26,Active,T1562
RUL-053,DET-T1110-Brute_Force_53,Correlation Rule,2026-03-31,2026-05-30,Active,T1110
RUL-054,DET-T1070-Indicator_Removal_on_Host_54,Sigma Signature,2026-05-05,2026-07-04,Active,T1070
RUL-055,DET-T1567-Exfiltration_Over_Web_Service_55,Behavioral Anomaly,2026-04-25,2026-06-24,Active,T1567
RUL-056,DET-T1486-Data_Encrypted_for_Impact_56,Correlation Rule,2026-06-17,2026-08-16,Active,T1486
