escalation_id,alert_id,analyst_id,required,escalated_at,escalation_target,incident_id,status
ESC-0006,ALT-000018,ANL-009,Discretionary,2026-08-05 08:28:00,Lead Analyst,INC-2026007,Escalated
ESC-0008,ALT-000027,ANL-017,Yes,2026-07-29 22:18:00,Tier-2 CSIRT,INC-2026009,Escalated
ESC-0016,ALT-000052,ANL-022,Discretionary,2026-06-15 06:30:00,Lead Analyst,INC-2026017,Escalated
ESC-0053,ALT-000215,ANL-011,Discretionary,2026-08-05 18:34:00,Lead Analyst,INC-2026054,Escalated
ESC-0063,ALT-000257,ANL-011,Discretionary,2026-07-04 15:36:00,Lead Analyst,INC-2026064,Escalated
ESC-0068,ALT-000271,ANL-004,Yes,2026-08-06 13:25:00,Tier-2 CSIRT,INC-2026069,Escalated
ESC-0087,ALT-000352,ANL-004,Discretionary,2026-09-07 19:38:00,Lead Analyst,INC-2026088,Escalated
ESC-0109,ALT-000430,ANL-001,Discretionary,2026-08-23 14:35:00,Lead Analyst,INC-2026110,Escalated
ESC-0113,ALT-000444,ANL-001,Discretionary,2026-09-04 04:52:00,Lead Analyst,INC-2026114,Escalated
ESC-0144,ALT-000565,ANL-001,Discretionary,2026-09-04 00:39:00,Lead Analyst,INC-2026145,Escalated
ESC-0163,ALT-000643,ANL-012,Discretionary,2026-07-02 11:54:00,Lead Analyst,INC-2026164,Escalated
ESC-0200,ALT-000817,ANL-012,Yes,2026-07-19 18:56:00,Tier-2 CSIRT,INC-2026201,Escalated
ESC-0212,ALT-000870,ANL-014,Discretionary,2026-09-10 08:22:00,Lead Analyst,INC-2026213,Escalated
ESC-0266,ALT-001065,ANL-012,Yes,2026-08-15 08:20:00,Tier-2 CSIRT,INC-2026267,Escalated
ESC-0271,ALT-001071,ANL-001,Discretionary,2026-08-19 20:58:00,Lead Analyst,INC-2026272,Escalated
ESC-0273,ALT-001079,ANL-022,Discretionary,2026-07-09 05:35:00,Lead Analyst,INC-2026274,Escalated
ESC-0281,ALT-001111,ANL-013,Discretionary,2026-08-20 10:15:00,Lead Analyst,INC-2026282,Escalated
ESC-0348,ALT-001363,ANL-005,Yes,2026-07-23 12:01:00,Tier-2 CSIRT,INC-2026349,Escalated
ESC-0350,ALT-001367,ANL-012,Yes,2026-08-22 06:24:00,Tier-2 CSIRT,INC-2026351,Escalated
ESC-0360,ALT-001399,ANL-015,Yes,2026-07-25 01:21:00,Tier-2 CSIRT,INC-2026361,Escalated
ESC-0364,ALT-001428,ANL-021,Yes,2026-08-05 11:26:00,Tier-2 CSIRT,INC-2026365,Escalated
ESC-0385,ALT-001515,ANL-009,Yes,2026-08-05 06:55:00,Tier-2 CSIRT,INC-2026386,Escalated
ESC-0390,ALT-001547,ANL-016,Discretionary,2026-08-30 00:52:00,Lead Analyst,INC-2026391,Escalated
ESC-0395,ALT-001566,ANL-019,Yes,2026-08-08 14:32:00,Tier-2 CSIRT,INC-2026396,Escalated
ESC-0423,ALT-001652,ANL-011,Discretionary,2026-09-08 20:50:00,Lead Analyst,INC-2026424,Escalated
ESC-0513,ALT-002043,ANL-001,Discretionary,2026-06-17 06:18:00,Lead Analyst,INC-2026514,Escalated
ESC-0543,ALT-002127,ANL-011,Yes,2026-08-04 12:28:00,Tier-2 CSIRT,INC-2026544,Escalated
ESC-0589,ALT-002300,ANL-022,Yes,2026-06-25 18:28:00,Tier-2 CSIRT,INC-2026590,Escalated
ESC-0591,ALT-002313,ANL-015,Discretionary,2026-08-15 08:46:00,Lead Analyst,INC-2026592,Escalated
ESC-0595,ALT-002335,ANL-014,Discretionary,2026-07-04 05:09:00,Lead Analyst,INC-2026596,Escalated
ESC-0619,ALT-002431,ANL-015,Discretionary,2026-08-11 13:23:00,Lead Analyst,INC-2026620,Escalated
ESC-0627,ALT-002465,ANL-004,Yes,2026-06-30 23:32:00,Tier-2 CSIRT,INC-2026628,Escalated
ESC-0639,ALT-002508,ANL-006,Yes,2026-08-23 14:11:00,Tier-2 CSIRT,INC-2026640,Escalated
ESC-0720,ALT-002837,ANL-007,Discretionary,2026-06-16 17:29:00,Lead Analyst,INC-2026721,Escalated
ESC-0793,ALT-003082,ANL-010,Discretionary,2026-07-31 08:01:00,Lead Analyst,INC-2026794,Escalated
ESC-0832,ALT-003225,ANL-013,Discretionary,2026-06-18 07:56:00,Lead Analyst,INC-2026833,Escalated
ESC-0848,ALT-003270,ANL-008,Yes,2026-07-30 09:44:00,Tier-2 CSIRT,INC-2026849,Escalated
ESC-0907,ALT-003563,ANL-015,Discretionary,2026-06-21 12:02:00,Lead Analyst,INC-2026908,Escalated
ESC-0925,ALT-003622,ANL-006,Yes,2026-08-29 21:24:00,Tier-2 CSIRT,INC-2026926,Escalated
ESC-0932,ALT-003658,ANL-010,Yes,2026-06-25 01:27:00,Tier-2 CSIRT,INC-2026933,Escalated
ESC-0968,ALT-003795,ANL-018,Discretionary,2026-06-18 17:15:00,Lead Analyst,INC-2026969,Escalated
ESC-0970,ALT-003812,ANL-036,Yes,2026-06-13 12:16:00,Tier-2 CSIRT,INC-2026971,Escalated
ESC-0972,ALT-003826,ANL-024,Yes,2026-08-06 13:56:00,Tier-2 CSIRT,INC-2026973,Escalated
