investigation_id,alert_id,analyst_id,started_at,closed_at,investigation_duration,investigation_notes,evidence_count,artifacts_collected,closure_reason,escalated
INV-00009,ALT-000015,ANL-018,2026-09-03 09:21:00,2026-09-03 09:36:36,15.6,Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.,5,3,Containment Verified,No
INV-00010,ALT-000018,ANL-009,2026-08-05 08:22:00,2026-08-05 08:54:06,32.1,Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.,4,3,Containment Verified,Yes
INV-00015,ALT-000027,ANL-017,2026-07-29 22:14:00,2026-07-29 22:37:18,23.3,Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.,3,2,Containment Verified,Yes
INV-00028,ALT-000052,ANL-022,2026-06-15 06:22:00,2026-06-15 06:51:30,29.5,Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.,4,3,Containment Verified,Yes
INV-00082,ALT-000150,ANL-005,2026-06-30 10:31:00,2026-06-30 11:11:30,40.5,Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.,5,3,Containment Verified,No
INV-00099,ALT-000180,ANL-007,2026-08-16 02:17:00,2026-08-16 02:52:24,35.4,Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.,3,4,Containment Verified,No
INV-00118,ALT-000212,ANL-021,2026-08-12 16:53:00,2026-08-12 17:25:24,32.4,Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.,4,2,Benign Operation,No
INV-00121,ALT-000215,ANL-011,2026-08-05 18:27:00,2026-08-05 19:03:24,36.4,Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.,5,2,Containment Verified,Yes
INV-00126,ALT-000221,ANL-006,2026-09-04 06:35:00,2026-09-04 06:57:12,22.2,Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.,4,2,Benign Operation,No
INV-00134,ALT-000241,ANL-008,2026-07-14 13:04:00,2026-07-14 13:35:54,31.9,Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.,3,4,Benign Operation,No
INV-00143,ALT-000257,ANL-011,2026-07-04 15:25:00,2026-07-04 15:45:30,20.5,Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.,3,2,Containment Verified,Yes
INV-00150,ALT-000271,ANL-004,2026-08-06 13:16:00,2026-08-06 13:56:54,40.9,Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.,4,4,Containment Verified,Yes
INV-00169,ALT-000299,ANL-022,2026-07-20 06:50:00,2026-07-20 07:27:30,37.5,Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.,5,2,Benign Operation,No
INV-00196,ALT-000352,ANL-004,2026-09-07 19:29:00,2026-09-07 20:06:54,37.9,Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.,5,3,Containment Verified,Yes
INV-00206,ALT-000367,ANL-013,2026-08-28 17:56:00,2026-08-28 18:34:06,38.1,Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.,5,4,Benign Operation,No
INV-00246,ALT-000430,ANL-001,2026-08-23 14:30:00,2026-08-23 15:11:42,41.7,Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.,5,3,Containment Verified,Yes
INV-00248,ALT-000433,ANL-002,2026-06-15 11:32:00,2026-06-15 12:08:06,36.1,Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.,5,3,Benign Operation,No
INV-00253,ALT-000444,ANL-001,2026-09-04 04:45:00,2026-09-04 05:05:12,20.2,Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.,5,2,Containment Verified,Yes
INV-00262,ALT-000462,ANL-001,2026-07-01 18:51:00,2026-07-01 19:14:18,23.3,Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.,4,4,Containment Verified,No
INV-00328,ALT-000565,ANL-001,2026-09-04 00:35:00,2026-09-04 01:16:42,41.7,Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.,3,3,Containment Verified,Yes
INV-00372,ALT-000643,ANL-012,2026-07-02 11:49:00,2026-07-02 12:19:48,30.8,Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.,4,2,Containment Verified,Yes
INV-00390,ALT-000677,ANL-010,2026-07-07 04:29:00,2026-07-07 05:01:24,32.4,Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.,3,2,Benign Operation,No
INV-00409,ALT-000706,ANL-013,2026-08-16 09:45:00,2026-08-16 10:24:42,39.7,Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.,4,4,Benign Operation,No
INV-00470,ALT-000817,ANL-012,2026-07-19 18:50:00,2026-07-19 19:29:48,39.8,Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.,3,3,Containment Verified,Yes
INV-00471,ALT-000818,ANL-005,2026-08-23 04:17:00,2026-08-23 04:50:30,33.5,Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.,4,3,Containment Verified,No
INV-00498,ALT-000865,ANL-017,2026-08-21 06:25:00,2026-08-21 07:01:42,36.7,Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.,4,2,Benign Operation,No
INV-00502,ALT-000870,ANL-014,2026-09-10 08:12:00,2026-09-10 08:34:54,22.9,Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.,4,3,Containment Verified,Yes
INV-00615,ALT-001065,ANL-012,2026-08-15 08:14:00,2026-08-15 08:31:06,17.1,Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.,3,4,Containment Verified,Yes
INV-00620,ALT-001071,ANL-001,2026-08-19 20:51:00,2026-08-19 21:09:12,18.2,Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.,3,4,Containment Verified,Yes
INV-00626,ALT-001079,ANL-022,2026-07-09 05:31:00,2026-07-09 06:07:00,36.0,Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.,3,3,Containment Verified,Yes
INV-00643,ALT-001111,ANL-013,2026-08-20 10:08:00,2026-08-20 10:24:54,16.9,Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.,5,3,Containment Verified,Yes
INV-00659,ALT-001136,ANL-009,2026-08-04 04:28:00,2026-08-04 04:52:36,24.6,Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.,3,3,Benign Operation,No
INV-00708,ALT-001229,ANL-019,2026-06-29 15:27:00,2026-06-29 15:51:18,24.3,Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.,5,3,Containment Verified,No
INV-00769,ALT-001337,ANL-001,2026-07-10 08:08:00,2026-07-10 08:28:36,20.6,Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.,3,4,Benign Operation,No
