escalation_id,alert_id,analyst_id,required,escalated_at,escalation_target,incident_id,status
ESC-0001,ALT-000001,ANL-002,Discretionary,2026-07-19 20:08:00,Lead Analyst,INC-2026002,Escalated
ESC-0002,ALT-000002,ANL-019,Discretionary,2026-07-06 17:42:00,Lead Analyst,INC-2026003,Escalated
ESC-0003,ALT-000006,ANL-020,Discretionary,2026-07-16 06:23:00,Lead Analyst,INC-2026004,Escalated
ESC-0004,ALT-000010,ANL-009,Yes,2026-06-23 21:15:00,Tier-2 CSIRT,INC-2026005,Escalated
ESC-0005,ALT-000011,ANL-015,Yes,2026-07-14 19:16:00,Tier-2 CSIRT,INC-2026006,Escalated
ESC-0006,ALT-000018,ANL-009,Discretionary,2026-08-05 08:28:00,Lead Analyst,INC-2026007,Escalated
ESC-0007,ALT-000019,ANL-015,Yes,2026-08-10 22:26:00,Tier-2 CSIRT,INC-2026008,Escalated
ESC-0008,ALT-000027,ANL-017,Yes,2026-07-29 22:18:00,Tier-2 CSIRT,INC-2026009,Escalated
ESC-0009,ALT-000032,ANL-006,Discretionary,2026-08-01 19:55:00,Lead Analyst,INC-2026010,Escalated
ESC-0010,ALT-000034,ANL-011,Yes,2026-07-11 08:02:00,Tier-2 CSIRT,INC-2026011,Escalated
ESC-0011,ALT-000039,ANL-021,Discretionary,2026-07-26 14:14:00,Lead Analyst,INC-2026012,Escalated
ESC-0012,ALT-000042,ANL-011,Discretionary,2026-07-19 23:51:00,Lead Analyst,INC-2026013,Escalated
ESC-0013,ALT-000043,ANL-011,Yes,2026-08-30 03:34:00,Tier-2 CSIRT,INC-2026014,Escalated
ESC-0014,ALT-000044,ANL-001,Yes,2026-07-20 15:00:00,Tier-2 CSIRT,INC-2026015,Escalated
ESC-0015,ALT-000045,ANL-006,Discretionary,2026-07-26 02:01:00,Lead Analyst,INC-2026016,Escalated
ESC-0016,ALT-000052,ANL-022,Discretionary,2026-06-15 06:30:00,Lead Analyst,INC-2026017,Escalated
ESC-0017,ALT-000056,ANL-011,Yes,2026-06-29 21:02:00,Tier-2 CSIRT,INC-2026018,Escalated
