alert_id,soc_id,timestamp,severity,asset_id,asset_criticality,alert_type,detection_rule,status,assigned_analyst
ALT-000001,SOC-ALPHA,2026-07-19 19:43:00,High,AST-0029,Critical,DET-T1078-Valid_Accounts_30,RUL-030,Closed,ANL-002
ALT-000002,SOC-ALPHA,2026-07-06 17:16:00,High,AST-0276,Medium,DET-T1021-Remote_Services_34,RUL-034,Closed,ANL-019
ALT-000003,SOC-ALPHA,2026-07-09 15:50:00,Medium,AST-0306,Medium,DET-T1070-Indicator_Removal_on_Host_09,RUL-009,Closed,ANL-013
ALT-000004,SOC-ALPHA,2026-07-25 05:35:00,Low,AST-0006,Critical,DET-T1090-Proxy_88,RUL-088,Closed,ANL-004
ALT-000005,SOC-ALPHA,2026-07-27 20:49:00,Medium,AST-0058,High,DET-T1110-Brute_Force_38,RUL-038,Closed,ANL-014
ALT-000006,SOC-ALPHA,2026-07-16 06:09:00,High,AST-0136,High,DET-T1059-Command_and_Scripting_Interpreter_01,RUL-001,Closed,ANL-020
ALT-000007,SOC-ALPHA,2026-07-03 19:08:00,Medium,AST-0485,Low,DET-T1486-Data_Encrypted_for_Impact_71,RUL-071,Closed,ANL-006
ALT-000008,SOC-ALPHA,2026-08-23 13:13:00,Low,AST-0387,Low,DET-T1021-Remote_Services_94,RUL-094,Closed,ANL-007
ALT-000009,SOC-ALPHA,2026-08-15 01:28:00,Low,AST-0232,Medium,DET-T1059-Command_and_Scripting_Interpreter_16,RUL-016,Closed,ANL-008
ALT-000010,SOC-ALPHA,2026-06-23 20:57:00,Critical,AST-0132,High,DET-T1059-Command_and_Scripting_Interpreter_31,RUL-031,Closed,ANL-009
ALT-000011,SOC-ALPHA,2026-07-14 19:06:00,Critical,AST-0109,High,DET-T1110-Brute_Force_53,RUL-053,Closed,ANL-015
ALT-000012,SOC-ALPHA,2026-08-27 21:08:00,Medium,AST-0143,High,DET-T1078-Valid_Accounts_60,RUL-060,Closed,ANL-008
ALT-000013,SOC-ALPHA,2026-09-02 11:13:00,Low,AST-0463,Low,DET-T1110-Brute_Force_08,RUL-008,Closed,ANL-006
ALT-000014,SOC-ALPHA,2026-07-27 14:59:00,Low,AST-0233,Medium,DET-T1562-Impair_Defenses_37,RUL-037,Closed,ANL-014
ALT-000015,SOC-ALPHA,2026-09-03 09:09:00,High,AST-0015,Critical,DET-T1078-Valid_Accounts_75,RUL-075,Closed,ANL-018
ALT-000016,SOC-ALPHA,2026-07-14 01:04:00,Medium,AST-0346,Medium,DET-T1059-Command_and_Scripting_Interpreter_31,RUL-031,Closed,ANL-013
ALT-000017,SOC-ALPHA,2026-07-24 08:37:00,Medium,AST-0318,Medium,DET-T1486-Data_Encrypted_for_Impact_11,RUL-011,Closed,ANL-014
ALT-000018,SOC-ALPHA,2026-08-05 07:59:00,High,AST-0081,High,DET-T1059-Command_and_Scripting_Interpreter_31,RUL-031,Closed,ANL-009
ALT-000019,SOC-ALPHA,2026-08-10 21:56:00,Critical,AST-0073,High,DET-T1046-Network_Service_Discovery_21,RUL-021,Closed,ANL-015
ALT-000020,SOC-ALPHA,2026-07-27 11:07:00,Low,AST-0381,Low,DET-T1486-Data_Encrypted_for_Impact_71,RUL-071,Closed,ANL-005
ALT-000021,SOC-ALPHA,2026-08-09 20:13:00,Medium,AST-0437,Low,DET-T1021-Remote_Services_34,RUL-034,Closed,ANL-017
ALT-000022,SOC-ALPHA,2026-06-21 00:05:00,Medium,AST-0425,Low,DET-T1046-Network_Service_Discovery_36,RUL-036,Closed,ANL-002
ALT-000023,SOC-ALPHA,2026-07-27 00:10:00,Medium,AST-0283,Medium,DET-T1059-Command_and_Scripting_Interpreter_91,RUL-091,Closed,ANL-014
ALT-000024,SOC-ALPHA,2026-06-19 11:19:00,High,AST-0498,Low,DET-T1046-Network_Service_Discovery_06,RUL-006,Closed,ANL-012
ALT-000025,SOC-ALPHA,2026-08-21 16:01:00,High,AST-0401,Low,DET-T1110-Brute_Force_53,RUL-053,Closed,ANL-022
ALT-000026,SOC-ALPHA,2026-08-03 10:52:00,Low,AST-0117,High,DET-T1190-Exploit_Public-Facing_Application_29,RUL-029,Closed,ANL-001
ALT-000027,SOC-ALPHA,2026-07-29 21:55:00,Critical,AST-0180,Medium,DET-T1110-Brute_Force_83,RUL-083,Closed,ANL-017
ALT-000028,SOC-ALPHA,2026-06-30 20:38:00,Medium,AST-0374,Low,DET-T1486-Data_Encrypted_for_Impact_41,RUL-041,Closed,ANL-014
ALT-000029,SOC-ALPHA,2026-08-17 01:57:00,Medium,AST-0131,High,DET-T1046-Network_Service_Discovery_06,RUL-006,Closed,ANL-014
ALT-000030,SOC-ALPHA,2026-07-15 23:23:00,Medium,AST-0486,Low,DET-T1486-Data_Encrypted_for_Impact_86,RUL-086,Closed,ANL-011
ALT-000031,SOC-ALPHA,2026-07-03 14:46:00,Low,AST-0260,Medium,DET-T1567-Exfiltration_Over_Web_Service_40,RUL-040,Closed,ANL-022
ALT-000032,SOC-ALPHA,2026-08-01 19:35:00,High,AST-0098,High,DET-T1055-Process_Injection_87,RUL-087,Closed,ANL-006
ALT-000033,SOC-ALPHA,2026-08-30 16:28:00,Medium,AST-0110,High,DET-T1046-Network_Service_Discovery_66,RUL-066,Closed,ANL-016
ALT-000034,SOC-ALPHA,2026-07-11 07:42:00,Critical,AST-0163,High,DET-T1003-OS_Credential_Dumping_80,RUL-080,Closed,ANL-011
ALT-000035,SOC-ALPHA,2026-06-24 18:29:00,Medium,AST-0323,Medium,DET-T1190-Exploit_Public-Facing_Application_74,RUL-074,Closed,ANL-007
ALT-000036,SOC-ALPHA,2026-08-19 12:15:00,High,AST-0028,Critical,DET-T1567-Exfiltration_Over_Web_Service_100,RUL-100,Closed,ANL-014
ALT-000037,SOC-ALPHA,2026-08-30 15:42:00,Medium,AST-0287,Medium,DET-T1566-Phishing_77,RUL-077,Under Review,ANL-011
ALT-000038,SOC-ALPHA,2026-09-06 11:27:00,Low,AST-0281,Medium,DET-T1090-Proxy_58,RUL-058,Closed,ANL-006
ALT-000039,SOC-ALPHA,2026-07-26 13:48:00,High,AST-0134,High,DET-T1053-Scheduled_Task/Job_63,RUL-063,Closed,ANL-021
ALT-000040,SOC-ALPHA,2026-07-08 09:45:00,High,AST-0085,High,DET-T1567-Exfiltration_Over_Web_Service_70,RUL-070,Closed,ANL-015
ALT-000041,SOC-ALPHA,2026-08-11 08:19:00,Low,AST-0437,Low,DET-T1070-Indicator_Removal_on_Host_54,RUL-054,Closed,ANL-018
ALT-000042,SOC-ALPHA,2026-07-19 23:31:00,High,AST-0008,Critical,DET-T1003-OS_Credential_Dumping_50,RUL-050,Closed,ANL-011
ALT-000043,SOC-ALPHA,2026-08-30 03:11:00,Critical,AST-0055,High,DET-T1190-Exploit_Public-Facing_Application_59,RUL-059,Closed,ANL-011
ALT-000044,SOC-ALPHA,2026-07-20 14:41:00,Critical,AST-0021,Critical,DET-T1562-Impair_Defenses_97,RUL-097,Under Review,ANL-001
ALT-000045,SOC-ALPHA,2026-07-26 01:49:00,High,AST-0030,Critical,DET-T1567-Exfiltration_Over_Web_Service_100,RUL-100,Under Review,ANL-006
ALT-000046,SOC-ALPHA,2026-06-29 17:44:00,Low,AST-0436,Low,DET-T1090-Proxy_88,RUL-088,Closed,ANL-020
ALT-000047,SOC-ALPHA,2026-06-19 08:22:00,Medium,AST-0339,Medium,DET-T1053-Scheduled_Task/Job_48,RUL-048,Closed,ANL-003
ALT-000048,SOC-ALPHA,2026-07-12 09:46:00,Medium,AST-0334,Medium,DET-T1003-OS_Credential_Dumping_35,RUL-035,Closed,ANL-020
ALT-000049,SOC-ALPHA,2026-09-02 20:29:00,Medium,AST-0375,Low,DET-T1059-Command_and_Scripting_Interpreter_76,RUL-076,Closed,ANL-009
ALT-000050,SOC-ALPHA,2026-06-17 05:31:00,Low,AST-0094,High,DET-T1053-Scheduled_Task/Job_63,RUL-063,Closed,ANL-007
ALT-000051,SOC-ALPHA,2026-08-20 16:31:00,Medium,AST-0124,High,DET-T1190-Exploit_Public-Facing_Application_89,RUL-089,Closed,ANL-016
ALT-000052,SOC-ALPHA,2026-06-15 06:05:00,High,AST-0063,High,DET-T1567-Exfiltration_Over_Web_Service_40,RUL-040,Closed,ANL-022
ALT-000053,SOC-ALPHA,2026-07-21 16:07:00,Medium,AST-0162,High,DET-T1059-Command_and_Scripting_Interpreter_16,RUL-016,Under Review,ANL-018
ALT-000054,SOC-ALPHA,2026-07-15 00:13:00,Medium,AST-0142,High,DET-T1053-Scheduled_Task/Job_93,RUL-093,Under Review,ANL-019
ALT-000055,SOC-ALPHA,2026-07-30 15:06:00,Low,AST-0152,High,DET-T1078-Valid_Accounts_30,RUL-030,Closed,ANL-012
ALT-000056,SOC-ALPHA,2026-06-29 20:55:00,Critical,AST-0123,High,DET-T1055-Process_Injection_57,RUL-057,Closed,ANL-011
ALT-000057,SOC-ALPHA,2026-07-08 05:09:00,Low,AST-0486,Low,DET-T1070-Indicator_Removal_on_Host_39,RUL-039,Under Review,ANL-003
ALT-000058,SOC-ALPHA,2026-08-24 12:19:00,Medium,AST-0031,Critical,DET-T1021-Remote_Services_79,RUL-079,Under Review,ANL-004
ALT-000059,SOC-ALPHA,2026-07-09 01:00:00,Medium,AST-0353,Medium,DET-T1566-Phishing_77,RUL-077,Closed,ANL-016
ALT-000060,SOC-ALPHA,2026-08-23 21:07:00,Medium,AST-0332,Medium,DET-T1003-OS_Credential_Dumping_20,RUL-020,Closed,ANL-009
ALT-000061,SOC-ALPHA,2026-08-20 00:17:00,Medium,AST-0253,Medium,DET-T1055-Process_Injection_57,RUL-057,Closed,ANL-003
ALT-000062,SOC-ALPHA,2026-08-06 08:38:00,High,AST-0148,High,DET-T1059-Command_and_Scripting_Interpreter_76,RUL-076,Under Review,ANL-001
ALT-000063,SOC-ALPHA,2026-08-31 13:22:00,Medium,AST-0165,High,DET-T1486-Data_Encrypted_for_Impact_86,RUL-086,Closed,ANL-004
ALT-000064,SOC-ALPHA,2026-08-06 12:07:00,Low,AST-0207,Medium,DET-T1046-Network_Service_Discovery_66,RUL-066,Closed,ANL-001
ALT-000065,SOC-ALPHA,2026-08-21 20:03:00,High,AST-0128,High,DET-T1046-Network_Service_Discovery_81,RUL-081,Closed,ANL-015
ALT-000066,SOC-ALPHA,2026-07-23 04:45:00,High,AST-0142,High,DET-T1110-Brute_Force_53,RUL-053,Closed,ANL-003
ALT-000067,SOC-ALPHA,2026-08-22 05:53:00,Medium,AST-0242,Medium,DET-T1566-Phishing_32,RUL-032,Closed,ANL-015
ALT-000068,SOC-ALPHA,2026-09-07 01:47:00,Low,AST-0443,Low,DET-T1070-Indicator_Removal_on_Host_09,RUL-009,Closed,ANL-009
ALT-000069,SOC-ALPHA,2026-08-09 08:59:00,Low,AST-0137,High,DET-T1059-Command_and_Scripting_Interpreter_01,RUL-001,Closed,ANL-010
ALT-000070,SOC-ALPHA,2026-09-03 21:55:00,High,AST-0089,High,DET-T1090-Proxy_43,RUL-043,Closed,ANL-018
