investigation_id,alert_id,analyst_id,started_at,closed_at,investigation_duration,investigation_notes,evidence_count,artifacts_collected,closure_reason,escalated
INV-00001,ALT-000001,ANL-002,2026-07-19 19:57:00,2026-07-19 20:18:30,21.5,"Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.",3,4,Containment Verified,Yes
INV-00002,ALT-000002,ANL-019,2026-07-06 17:36:00,2026-07-06 18:01:12,25.2,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",3,2,Containment Verified,Yes
INV-00003,ALT-000005,ANL-014,2026-07-27 21:14:00,2026-07-27 21:52:30,38.5,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",4,4,Benign Operation,No
INV-00004,ALT-000006,ANL-020,2026-07-16 06:11:00,2026-07-16 06:28:06,17.1,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",4,3,Containment Verified,Yes
INV-00005,ALT-000009,ANL-008,2026-08-15 01:48:00,2026-08-15 02:17:30,29.5,"Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.",5,2,Benign Operation,No
INV-00006,ALT-000010,ANL-009,2026-06-23 21:05:00,2026-06-23 21:34:06,29.1,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",5,4,Containment Verified,Yes
INV-00007,ALT-000011,ANL-015,2026-07-14 19:09:00,2026-07-14 19:41:54,32.9,"Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.",5,2,Containment Verified,Yes
INV-00008,ALT-000012,ANL-008,2026-08-27 21:27:00,2026-08-27 21:43:42,16.7,"Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.",5,4,Benign Operation,No
INV-00009,ALT-000015,ANL-018,2026-09-03 09:21:00,2026-09-03 09:36:36,15.6,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",5,3,Containment Verified,No
INV-00010,ALT-000018,ANL-009,2026-08-05 08:22:00,2026-08-05 08:54:06,32.1,"Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.",4,3,Containment Verified,Yes
INV-00011,ALT-000019,ANL-015,2026-08-10 22:20:00,2026-08-10 22:42:30,22.5,"Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.",5,4,Containment Verified,Yes
INV-00012,ALT-000023,ANL-014,2026-07-27 00:34:00,2026-07-27 01:13:18,39.3,"Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.",5,2,Benign Operation,No
INV-00013,ALT-000024,ANL-012,2026-06-19 11:28:00,2026-06-19 12:00:42,32.7,"Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.",4,4,Containment Verified,No
INV-00014,ALT-000025,ANL-022,2026-08-21 16:10:00,2026-08-21 16:31:30,21.5,"Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.",5,2,Containment Verified,No
INV-00015,ALT-000027,ANL-017,2026-07-29 22:14:00,2026-07-29 22:37:18,23.3,"Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.",3,2,Containment Verified,Yes
INV-00016,ALT-000032,ANL-006,2026-08-01 19:46:00,2026-08-01 20:11:24,25.4,"Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.",3,3,Containment Verified,Yes
INV-00017,ALT-000034,ANL-011,2026-07-11 07:51:00,2026-07-11 08:23:48,32.8,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",3,2,Containment Verified,Yes
INV-00018,ALT-000036,ANL-014,2026-08-19 12:39:00,2026-08-19 13:07:30,28.5,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",3,4,Containment Verified,No
INV-00019,ALT-000039,ANL-021,2026-07-26 14:04:00,2026-07-26 14:20:12,16.2,"Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.",4,2,Containment Verified,Yes
INV-00020,ALT-000040,ANL-015,2026-07-08 09:53:00,2026-07-08 10:30:18,37.3,"Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.",4,4,Containment Verified,No
INV-00021,ALT-000042,ANL-011,2026-07-19 23:45:00,2026-07-20 00:19:18,34.3,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",4,2,Containment Verified,Yes
INV-00022,ALT-000043,ANL-011,2026-08-30 03:25:00,2026-08-30 03:46:48,21.8,"Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.",4,3,Containment Verified,Yes
INV-00023,ALT-000044,ANL-001,2026-07-20 14:49:00,2026-07-20 15:26:30,37.5,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",5,2,Containment Verified,Yes
INV-00024,ALT-000045,ANL-006,2026-07-26 01:54:00,2026-07-26 02:24:12,30.2,"Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.",4,4,Containment Verified,Yes
INV-00025,ALT-000047,ANL-003,2026-06-19 08:37:00,2026-06-19 09:14:00,37.0,"Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.",3,3,Benign Operation,No
INV-00026,ALT-000049,ANL-009,2026-09-02 20:33:00,2026-09-02 20:54:48,21.8,"Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.",4,2,Benign Operation,No
INV-00027,ALT-000050,ANL-007,2026-06-17 05:41:00,2026-06-17 06:19:36,38.6,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",5,3,Benign Operation,No
INV-00028,ALT-000052,ANL-022,2026-06-15 06:22:00,2026-06-15 06:51:30,29.5,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",4,3,Containment Verified,Yes
INV-00029,ALT-000055,ANL-012,2026-07-30 15:25:00,2026-07-30 15:42:30,17.5,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",3,2,Benign Operation,No
INV-00030,ALT-000056,ANL-011,2026-06-29 20:58:00,2026-06-29 21:19:06,21.1,"Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.",4,2,Containment Verified,Yes
INV-00031,ALT-000057,ANL-003,2026-07-08 05:24:00,2026-07-08 05:55:00,31.0,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",5,2,Benign Operation,No
INV-00032,ALT-000058,ANL-004,2026-08-24 12:27:00,2026-08-24 12:48:24,21.4,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",3,2,Benign Operation,No
INV-00033,ALT-000059,ANL-016,2026-07-09 01:24:00,2026-07-09 01:45:54,21.9,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",4,2,Benign Operation,No
INV-00034,ALT-000060,ANL-009,2026-08-23 21:14:00,2026-08-23 21:50:12,36.2,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",5,4,Benign Operation,No
INV-00035,ALT-000062,ANL-001,2026-08-06 09:01:00,2026-08-06 09:38:00,37.0,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",5,2,Containment Verified,Yes
INV-00036,ALT-000063,ANL-004,2026-08-31 13:46:00,2026-08-31 14:13:54,27.9,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",5,3,Benign Operation,No
INV-00037,ALT-000065,ANL-015,2026-08-21 20:11:00,2026-08-21 20:32:30,21.5,"Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.",3,3,Containment Verified,No
INV-00038,ALT-000066,ANL-003,2026-07-23 04:50:00,2026-07-23 05:16:54,26.9,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",3,4,Containment Verified,Yes
INV-00039,ALT-000070,ANL-018,2026-09-03 22:09:00,2026-09-03 22:35:42,26.7,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",4,2,Containment Verified,Yes
INV-00040,ALT-000072,ANL-019,2026-07-08 07:47:00,2026-07-08 08:03:48,16.8,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",4,2,Benign Operation,No
INV-00041,ALT-000074,ANL-016,2026-08-16 04:24:00,2026-08-16 04:44:36,20.6,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",5,3,Benign Operation,No
INV-00042,ALT-000075,ANL-010,2026-07-10 17:59:00,2026-07-10 18:17:06,18.1,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",5,3,Containment Verified,No
INV-00043,ALT-000077,ANL-022,2026-06-13 23:10:00,2026-06-13 23:51:42,41.7,"Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.",4,4,Benign Operation,No
INV-00044,ALT-000078,ANL-019,2026-08-17 00:18:00,2026-08-17 00:40:18,22.3,"Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.",5,3,Benign Operation,No
INV-00045,ALT-000080,ANL-022,2026-07-14 19:01:00,2026-07-14 19:17:42,16.7,"Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.",5,4,Containment Verified,Yes
INV-00046,ALT-000082,ANL-011,2026-09-06 00:14:00,2026-09-06 00:55:00,41.0,"Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.",3,2,Containment Verified,No
INV-00047,ALT-000083,ANL-022,2026-08-18 16:14:00,2026-08-18 16:51:00,37.0,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",4,2,Containment Verified,Yes
INV-00048,ALT-000087,ANL-008,2026-08-20 23:22:00,2026-08-21 00:03:30,41.5,"Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.",4,4,Containment Verified,Yes
INV-00049,ALT-000088,ANL-020,2026-08-28 22:17:00,2026-08-28 22:37:48,20.8,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",3,4,Benign Operation,No
INV-00050,ALT-000090,ANL-009,2026-07-29 15:56:00,2026-07-29 16:13:42,17.7,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",4,2,Benign Operation,No
INV-00051,ALT-000092,ANL-022,2026-09-07 22:53:00,2026-09-07 23:25:00,32.0,"Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.",3,2,Containment Verified,Yes
INV-00052,ALT-000093,ANL-005,2026-08-27 00:26:00,2026-08-27 00:56:24,30.4,"Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.",5,3,Benign Operation,No
INV-00053,ALT-000097,ANL-012,2026-09-01 06:23:00,2026-09-01 06:38:42,15.7,"Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.",5,4,Containment Verified,Yes
INV-00054,ALT-000098,ANL-019,2026-06-21 02:35:00,2026-06-21 02:55:18,20.3,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",3,3,Benign Operation,No
INV-00055,ALT-000100,ANL-009,2026-06-16 19:49:00,2026-06-16 20:28:48,39.8,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",4,2,Benign Operation,No
INV-00056,ALT-000102,ANL-020,2026-08-09 12:13:00,2026-08-09 12:31:24,18.4,"Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.",5,2,Containment Verified,Yes
INV-00057,ALT-000103,ANL-017,2026-09-07 18:10:00,2026-09-07 18:30:12,20.2,"Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.",5,2,Containment Verified,Yes
